acquisition_batch_id,ranking_position,candidate_id,original_screening_rank,title,priority_score,ranking_run_id
FAB_20260803T154636Z,1,doi:10.1109/access.2024.3368914,337,Lightweight Detection Method for Real-Time Monitoring Tomato Growth Based on Improved YOLOv5s,7.342,
FAB_20260803T154636Z,2,doi:10.3390/rs12081246,196,Open Plant Phenotype Database of Common Weeds in Denmark,10.375,
FAB_20260803T154636Z,3,doi:10.31274/td-20260223-107,450,MaizeField3D: A curated 3D point cloud and procedural model dataset of field-grown maize from a diversity panel,4.977,
FAB_20260803T154636Z,4,doi:10.1109/iros58592.2024.10802820,49,BonnBeetClouds3D: A Dataset Towards Point Cloud-Based Organ-Level Phenotyping of Sugar Beet Plants Under Real Field Conditions,14.845,
FAB_20260803T154636Z,5,titleyear:tomato growth height prediction method by phenotypic feature extraction using multi modal data:,528,Tomato growth height prediction method by phenotypic feature extraction using multi-modal data,2.5,
FAB_20260803T154636Z,6,doi:10.1007/978-3-031-91835-3_4,378,Lincoln’s Annotated Spatio-Temporal Strawberry Dataset (LAST-Straw),6.699,
FAB_20260803T154636Z,7,doi:10.1109/siu59756.2023.10223838,237,PLANesT-3D: A New Annotated Data Set of 3D Color Point Clouds of Plants,9.454,
FAB_20260803T154636Z,8,doi:10.1109/wacv57701.2024.00693,156,Towards Accurate Disease Segmentation in Plant Images: A Comprehensive Dataset Creation and Network Evaluation,11.579,
FAB_20260803T154636Z,9,doi:10.1109/access.2023.3263042,125,FieldPlant: A Dataset of Field Plant Images for Plant Disease Detection and Classification With Deep Learning,12.382,
FAB_20260803T154636Z,10,doi:10.3390/rs10111690,137,Deep Learning with Unsupervised Data Labeling for Weed Detection in Line Crops in UAV Images,11.986,
FAB_20260803T154636Z,11,doi:10.3390/agronomy13061503,222,Real-Time Detection of Crops with Dense Planting Using Deep Learning at Seedling Stage,9.676,
FAB_20260803T154636Z,12,doi:10.6084/m9.figshare.28270742,63,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,14.301,
FAB_20260803T154636Z,13,titleyear:a leaf level dataset for soybean cotton detection and segmentation 2025:,447,A leaf-level dataset for soybean–cotton detection and segmentation (2025),5.0,
FAB_20260803T154636Z,14,doi:10.1007/978-3-319-16220-1_8,174,A Crop/Weed Field Image Dataset for the Evaluation of Computer Vision Based Precision Agriculture Tasks,11.128,
FAB_20260803T154636Z,15,doi:10.5281/zenodo.17719108,245,A Large-Scale In-the-wild Dataset for Plant Disease Segmentation,9.301,
FAB_20260803T154636Z,16,doi:10.1109/iros60139.2025.11246227,54,Zero-Shot Semantic Segmentation for Robots in Agriculture,14.602,
FAB_20260803T154636Z,17,doi:10.1007/s00530-023-01158-y,427,“Tomato-Village”: a dataset for end-to-end tomato disease detection in a real-world environment,5.813,
FAB_20260803T154636Z,18,titleyear:last straw lincoln s annotated spatio temporal strawberry dataset:2025,408,LAST-Straw: Lincoln’s Annotated Spatio-Temporal Strawberry Dataset,6.0,
FAB_20260803T154636Z,19,doi:10.17632/rv3kxfv47y.1,460,Tomato Leaf Dataset,4.602,
FAB_20260803T154636Z,20,doi:10.1109/iros60139.2025.11246612,45,Wireless Collaborative Inference Acceleration Based on Distillation for Weed Detection and Instance Segmentation,14.977,
FAB_20260803T154636Z,21,titleyear:instance segmentation dataset:2020,409,: Instance segmentation dataset,6.0,
FAB_20260803T154636Z,22,doi:10.1109/iccvw60793.2023.00065,111,Semantic Segmentation of Crops and Weeds with Probabilistic Modeling and Uncertainty Quantification,12.614,
FAB_20260803T154636Z,23,doi:10.3390/rs10020285,159,An Automatic Random Forest-OBIA Algorithm for Early Weed Mapping between and within Crop Rows Using UAV Imagery,11.45,
FAB_20260803T154636Z,24,doi:10.3390/agronomy14061178,289,HPPEM: A High-Precision Blueberry Cluster Phenotype Extraction Model Based on Hybrid Task Cascade,8.454,
FAB_20260803T154636Z,25,doi:10.1109/lra.2023.3288383,241,High Precision Leaf Instance Segmentation for Phenotyping in Point Clouds Obtained Under Real Field Conditions,9.362,
FAB_20260803T154636Z,26,doi:10.3390/agronomy13071846,118,Weed Identification in Maize Fields Based on Improved Swin-Unet,12.556,
FAB_20260803T154636Z,27,doi:10.1109/iccca52192.2021.9666441,232,Investigation on Object Detection Models for Plant Disease Detection Framework,9.5,
FAB_20260803T154636Z,28,doi:10.3390/s23073670,259,Weed Detection Using Deep Learning: A Systematic Literature Review,9.004,
FAB_20260803T154636Z,29,doi:10.1109/iros47612.2022.9982017,342,Optical flow-based branch segmentation for complex orchard environments,7.176,
FAB_20260803T154636Z,30,titleyear:tomato multi angle multi pose dataset for fine grained phenotyping:,463,Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,4.5,
FAB_20260803T154636Z,31,titleyear:leaf disease dataset:1973,521,Leaf Disease Dataset,3.0,
FAB_20260803T154636Z,32,doi:10.3390/rs12132136,243,Comparison of Object Detection and Patch-Based Classification Deep Learning Models on Mid- to Late-Season Weed Detection in UAV Imagery,9.32,
FAB_20260803T154636Z,33,doi:10.4081/jae.2022.1432,329,Tomato leaf diseases recognition based on deep convolutional neural networks,7.531,
FAB_20260803T154636Z,34,doi:10.17632/369cky7n39.1,461,Tomato leaf image dataset,4.602,
FAB_20260803T154636Z,35,doi:10.1002/rob.21938,320,Robotic weed control using automated weed and crop classification,7.765,
FAB_20260803T154636Z,36,titleyear:tomatowur an annotated dataset of 3d tomato plants to quantitatively evaluate segmentation skeletonisation and plant trait extraction algorithms for 3d plant phenotyping 2025 4tu:,333,"TomatoWUR: an annotated dataset of 3D tomato plants to quantitatively evaluate segmentation, skeletonisation, and plant trait extraction algorithms for 3D plant phenotyping (2025) 4TU",7.5,
FAB_20260803T154636Z,37,doi:10.17632/ngdgg79rzb.1,379,Dataset of Tomato Leaves,6.69,
FAB_20260803T154636Z,38,doi:10.3390/make8020044,121,Improving Ground Cover Crop Fractional Vegetation Mapping via Causality-Based Deep Representation Learning,12.5,
FAB_20260803T154636Z,39,doi:10.1016/j.compag.2019.104963,175,Unsupervised deep learning and semi-automatic data labeling in weed discrimination,11.041,
FAB_20260803T154636Z,40,doi:10.1109/lra.2023.3346760,270,Panoptic Segmentation With Partial Annotations for Agricultural Robots,8.845,
FAB_20260803T154636Z,41,doi:10.3390/drones7100624,77,Deep Learning-Based Weed Detection Using UAV Images: A Comparative Study,13.785,
FAB_20260803T154636Z,42,titleyear:tomatodiff on plant tomato segmentation with diffusion models:,505,TomatoDIFF: on-plant tomato segmentation with diffusion models,4.0,
FAB_20260803T154636Z,43,doi:10.1155/2022/2770706,73,FCN Network‐Based Weed and Crop Segmentation for IoT‐Aided Agriculture Applications,13.82,
FAB_20260803T154636Z,44,titleyear:agrobtomato dataset greenhouse tomatoes with different ripeness stages:2015,520,AgRobTomato dataset: greenhouse tomatoes with different ripeness stages,3.0,
FAB_20260803T154636Z,45,doi:10.3390/agriculture15161723,168,U-MoEMamba: A Hybrid Expert Segmentation Model for Cabbage Heads in Complex UAV Low-Altitude Remote Sensing Scenarios,11.301,
FAB_20260803T154636Z,46,doi:10.1109/mra.2023.3309098,438,Semiautonomous Precision Pruning of Upright Fruiting Offshoot Orchard Systems: An Integrated Approach,5.447,
FAB_20260803T154636Z,47,doi:10.3920/978-90-8686-947-3_62,290,Automatic estimation of trunk cross sectional area using deep learning,8.454,
FAB_20260803T154636Z,48,doi:10.1109/icra46639.2022.9811358,257,Precise 3D Reconstruction of Plants from UAV Imagery Combining Bundle Adjustment and Template Matching,9.068,
FAB_20260803T154636Z,49,doi:10.3390/s17102307,227,Application of Multilayer Perceptron with Automatic Relevance Determination on Weed Mapping Using UAV Multispectral Imagery,9.602,
FAB_20260803T154636Z,50,titleyear:annotated 3d point cloud dataset of broad leaf legumes captured by high throughput phenotyping platform:,422,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,6.0,
