screening_id,candidate_id,rank,title,decision,decision_confidence,reason_code,reason_note,likely_paper_type,likely_dataset_relationship,named_datasets,agricultural_domain,vision_task,modalities,relevance_yes,relevance_unclear,abstract_available,full_text_available,identity_status,reviewer,model,protocol_version,screened_at,batch_id,source_queue_sha256,supersedes_screening_id,notes
TA_R0501,doi:10.1177/001316446002000104,501,A Coefficient of Agreement for Nominal Scales,exclude,high,E03_NO_DATASET_RELEVANCE,"Cohen's kappa coefficient; statistics, not CV",method_paper,does_not_use_dataset,,,,,,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0502,doi:10.1111/j.2517-6161.1958.tb00292.x,502,The Regression Analysis of Binary Sequences,exclude,high,E03_NO_DATASET_RELEVANCE,"Regression analysis of binary sequences; statistics, not CV",method_paper,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0503,titleyear:uber den lichtfaktor in den pflanzengesellschaften und seine bedeutung fur die stoffproduktion:1953,503,Uber den Lichtfaktor in den Pflanzengesellschaften und seine Bedeutung fur die Stoffproduktion,exclude,high,E03_NO_DATASET_RELEVANCE,Light factor in plant communities (Monsi 1953); classic plant ecology,method_paper,does_not_use_dataset,,,,,,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0504,titleyear:a plant image dataset with high label ambiguity and a:,504,: a plant image dataset with high label ambiguity and a,include,high,I01,Pl@ntNet-300K plant image dataset with high label ambiguity,dataset_paper,introduces_dataset,Pl@ntNet-300K,plants;species_identification,classification,RGB,classification,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0505,titleyear:tomatodiff on plant tomato segmentation with diffusion models:,505,TomatoDIFF: on-plant tomato segmentation with diffusion models,include,high,I05,TomatoDIFF: on-plant tomato segmentation with diffusion models,method_paper,uses_dataset_experimentally,,tomato,semantic_segmentation;instance_segmentation,RGB,semantic_segmentation;instance_segmentation,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0506,doi:10.1161/circresaha.114.303819,506,Reproducibility in Science: Improving the Standard for Basic and Preclinical Research,exclude,high,E03_NO_DATASET_RELEVANCE,"Reproducibility in basic and preclinical research; medical, not ag CV",survey_or_review,does_not_use_dataset,,,,,,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0507,doi:10.1111/mpp.12618,507,A review of wheat diseases-a field perspective.,exclude,high,E03_NO_DATASET_RELEVANCE,"Wheat diseases review; plant pathology, no CV method",survey_or_review,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0508,doi:10.1145/3343440,508,A Systematic Review on Imbalanced Data Challenges in Machine Learning,exclude,high,E03_NO_DATASET_RELEVANCE,"Imbalanced data challenges in ML; general survey, not agricultural",survey_or_review,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0509,doi:10.3115/1072064.1072067,509,MUC-4 evaluation metrics,exclude,high,E03_NO_DATASET_RELEVANCE,"MUC-4 evaluation metrics; NLP, not CV",method_paper,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0510,doi:10.1109/cvpr52729.2023.01145,510,DisWOT: Student Architecture Search for Distillation WithOut Training,exclude,high,E03_NO_DATASET_RELEVANCE,DisWOT student architecture search for distillation; general CV,method_paper,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0511,doi:10.1016/j.compag.2019.06.001,511,Fruit detection for strawberry harvesting robot in non-structural environment based on Mask-RCNN,include,high,I05,Fruit detection for strawberry harvesting robot using Mask-RCNN,method_paper,uses_dataset_experimentally,,strawberry;robotics,instance_segmentation;object_detection,RGB,instance_segmentation;object_detection;robotics,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0512,doi:10.1007/978-3-031-19809-0_20,512,Self-Regulated Feature Learning via Teacher-free Feature Distillation,exclude,high,E03_NO_DATASET_RELEVANCE,"Teacher-free feature distillation; general CV, not agricultural",method_paper,does_not_use_dataset,,,,,,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0513,doi:10.1016/j.knosys.2019.07.008,513,Deep learning fault diagnosis method based on global optimization GAN for unbalanced data,exclude,high,E03_NO_DATASET_RELEVANCE,"GAN-based fault diagnosis for rolling bearings; industrial, not ag",method_paper,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0514,doi:10.1007/s004420050471,514,"Relationships of leaf dark respiration to leaf nitrogen, specific leaf area and leaf life-span: a test across biomes and functional groups",exclude,high,E03_NO_DATASET_RELEVANCE,"Leaf dark respiration and nitrogen relationships; plant physiology, no CV",method_paper,does_not_use_dataset,,,,,,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0515,doi:10.1198/tast.2010.09058,515,Explaining Variational Approximations,exclude,high,E03_NO_DATASET_RELEVANCE,"Explaining variational approximations; statistics, not CV",survey_or_review,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0516,doi:10.1007/s00138-020-01081-6,516,Detection of tomato organs based on convolutional neural network under the overlap and occlusion backgrounds,include,high,I05,Detection of tomato organs using CNN under overlap and occlusion backgrounds,method_paper,uses_dataset_experimentally,,tomato,object_detection,RGB,object_detection,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0517,doi:10.4172/2161-0487.1000197,517,Five Ways to Look at CohenÃ¢ÂÂs Kappa,exclude,high,E03_NO_DATASET_RELEVANCE,"Cohen's kappa interpretations; statistics, not CV",survey_or_review,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0518,doi:10.1109/iccv51070.2023.01721,518,Bidirectional Alignment for Domain Adaptive Detection with Transformers,exclude,high,E03_NO_DATASET_RELEVANCE,Bidirectional alignment for domain adaptive detection with transformers; general CV,method_paper,does_not_use_dataset,,,,,,,yes,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0519,titleyear:chapter 2 plant diseases pathogens and diagnosis:2020,519,"Chapter 2 - plant diseases, pathogens and diagnosis",exclude,high,E03_NO_DATASET_RELEVANCE,Plant diseases pathogens and diagnosis book chapter (duplicate); no CV,survey_or_review,does_not_use_dataset,,,,,,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
TA_R0520,titleyear:agrobtomato dataset greenhouse tomatoes with different ripeness stages:2015,520,AgRobTomato dataset: greenhouse tomatoes with different ripeness stages,include,high,I01,AgRobTomato dataset: greenhouse tomatoes with different ripeness stages,dataset_paper,introduces_dataset,AgRobTomato,tomato,classification,RGB,classification,,no,unknown,confirmed,opencode_ai,deepseek-v4-flash-free,AI_SCREENING_V1,2026-07-22T18:09:05Z,B027,feb7c8a80978b97f3bdcffd7291708e8ac5282301ce06c793247227bc43712be,,
