acquisition_batch_id,ranking_position,candidate_id,original_screening_rank,title,priority_score,ranking_run_id
FAB_20260803T124830Z,1,doi:10.1109/access.2024.3368914,337,Lightweight Detection Method for Real-Time Monitoring Tomato Growth Based on Improved YOLOv5s,7.342,
FAB_20260803T124830Z,2,doi:10.3390/rs12081246,196,Open Plant Phenotype Database of Common Weeds in Denmark,10.375,
FAB_20260803T124830Z,3,doi:10.1016/j.compag.2022.106719,122,Deep learning-based segmentation of multiple species of weeds and corn crop using synthetic and real image datasets,12.408,
FAB_20260803T124830Z,4,doi:10.31274/td-20260223-107,450,MaizeField3D: A curated 3D point cloud and procedural model dataset of field-grown maize from a diversity panel,4.977,
FAB_20260803T124830Z,5,doi:10.1109/iros58592.2024.10802820,49,BonnBeetClouds3D: A Dataset Towards Point Cloud-Based Organ-Level Phenotyping of Sugar Beet Plants Under Real Field Conditions,14.845,
FAB_20260803T124830Z,6,doi:10.2478/ausi-2018-0002,432,Fruit recognition from images using deep learning,5.63,
FAB_20260803T124830Z,7,doi:10.1109/icra48891.2023.10160918,173,"Hierarchical Approach for Joint Semantic, Plant Instance, and Leaf Instance Segmentation in the Agricultural Domain",11.133,
FAB_20260803T124830Z,8,titleyear:tomato growth height prediction method by phenotypic feature extraction using multi modal data:,528,Tomato growth height prediction method by phenotypic feature extraction using multi-modal data,2.5,
FAB_20260803T124830Z,9,doi:10.1145/3371158.3371196,295,PlantDoc: A Dataset for Visual Plant Disease Detection,8.336,
FAB_20260803T124830Z,10,doi:10.1007/978-3-031-91835-3_4,378,Lincoln’s Annotated Spatio-Temporal Strawberry Dataset (LAST-Straw),6.699,
FAB_20260803T124830Z,11,doi:10.1109/siu59756.2023.10223838,237,PLANesT-3D: A New Annotated Data Set of 3D Color Point Clouds of Plants,9.454,
FAB_20260803T124830Z,12,doi:10.1109/wacv57701.2024.00693,156,Towards Accurate Disease Segmentation in Plant Images: A Comprehensive Dataset Creation and Network Evaluation,11.579,
FAB_20260803T124830Z,13,doi:10.1109/access.2023.3263042,125,FieldPlant: A Dataset of Field Plant Images for Plant Disease Detection and Classification With Deep Learning,12.382,
FAB_20260803T124830Z,14,doi:10.1088/1742-6596/2759/1/012012,64,Multi-Scale Contextual Swin Transformer for Crop Image Segmentation,14.301,
FAB_20260803T124830Z,15,doi:10.3390/rs10111690,137,Deep Learning with Unsupervised Data Labeling for Weed Detection in Line Crops in UAV Images,11.986,
FAB_20260803T124830Z,16,arxiv:151108060,311,An open access repository of images on plant health to enable the development of mobile disease diagnostics through machine learning and crowdsourcing,8.0,
FAB_20260803T124830Z,17,doi:10.5194/isprs-archives-xliii-b3-2020-1077-2020,300,TOMATOD: EVALUATION OF OBJECT DETECTION ALGORITHMS ON A NEW REAL-WORLD TOMATO DATASET,8.176,
FAB_20260803T124830Z,18,doi:10.3389/fpls.2022.844522,206,A Segmentation-Guided Deep Learning Framework for Leaf Counting,10.056,
FAB_20260803T124830Z,19,doi:10.3390/agronomy13061503,222,Real-Time Detection of Crops with Dense Planting Using Deep Learning at Seedling Stage,9.676,
FAB_20260803T124830Z,20,doi:10.1186/s13007-019-0528-3,255,DeepSeedling: deep convolutional network and Kalman filter for plant seedling detection and counting in the field,9.09,
FAB_20260803T124830Z,21,doi:10.6084/m9.figshare.28270742,63,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,14.301,
FAB_20260803T124830Z,22,doi:10.1186/s13362-023-00133-6,216,Unsupervised deep learning techniques for automatic detection of plant diseases: reducing the need of manual labelling of plant images,9.862,
FAB_20260803T124830Z,23,arxiv:171105458,301,A Public Image Database for Benchmark of Plant Seedling Classification Algorithms,8.146,
FAB_20260803T124830Z,24,titleyear:a leaf level dataset for soybean cotton detection and segmentation 2025:,447,A leaf-level dataset for soybean–cotton detection and segmentation (2025),5.0,
FAB_20260803T124830Z,25,doi:10.1007/978-3-319-16220-1_8,174,A Crop/Weed Field Image Dataset for the Evaluation of Computer Vision Based Precision Agriculture Tasks,11.128,
FAB_20260803T124830Z,26,doi:10.3390/s25123583,187,The IoT and AI in Agriculture: The Time Is Now—A Systematic Review of Smart Sensing Technologies,10.746,
FAB_20260803T124830Z,27,doi:10.5281/zenodo.17719108,245,A Large-Scale In-the-wild Dataset for Plant Disease Segmentation,9.301,
FAB_20260803T124830Z,28,doi:10.1109/iros60139.2025.11246227,54,Zero-Shot Semantic Segmentation for Robots in Agriculture,14.602,
FAB_20260803T124830Z,29,doi:10.3390/s18103576,423,Automatic Leaf Segmentation for Estimating Leaf Area and Leaf Inclination Angle in 3D Plant Images,5.973,
FAB_20260803T124830Z,30,doi:10.1007/s00530-023-01158-y,427,“Tomato-Village”: a dataset for end-to-end tomato disease detection in a real-world environment,5.813,
FAB_20260803T124830Z,31,titleyear:last straw lincoln s annotated spatio temporal strawberry dataset:2025,408,LAST-Straw: Lincoln’s Annotated Spatio-Temporal Strawberry Dataset,6.0,
FAB_20260803T124830Z,32,doi:10.17632/rv3kxfv47y.1,460,Tomato Leaf Dataset,4.602,
FAB_20260803T124830Z,33,doi:10.1109/iros60139.2025.11246612,45,Wireless Collaborative Inference Acceleration Based on Distillation for Weed Detection and Instance Segmentation,14.977,
FAB_20260803T124830Z,34,doi:10.1016/j.jag.2020.102282,441,Leaf area index estimation using top-of-canopy airborne RGB images,5.392,
