rank,candidate_id,title,year,authors,venue,doi,arxiv_id,pmid,pmcid,providers,provider_ids,seed_ids,dataset_names,directions,is_open_access,landing_url,pdf_url,abstract
321,doi:10.3390/rs12193164,Fusion of Spectral and Structural Information from Aerial Images for Improved Biomass Estimation,2020,Bikram Pratap Banerjee; Germán Spangenberg; Surya Kant,Remote Sensing,10.3390/rs12193164,,,,openalex,openalex:W3091198668,P001,MuST-C,backward_reference,True,https://doi.org/10.3390/rs12193164,https://www.mdpi.com/2072-4292/12/19/3164/pdf?version=1601199164,"Efficient, precise and timely measurement of plant traits is important in the assessment of a breeding population. Estimating crop biomass in breeding trials using high-throughput technologies is difficult, as reproductive and senescence stages do not relate to reflectance spectra, and multiple growth stages occur concurrently in diverse genotypes. Additionally, vegetation indices (VIs) saturate at high canopy coverage, and vertical growth profiles are difficult to capture using VIs. A novel approach was implemented involving a fusion of complementary spectral and structural information, to calculate intermediate metrics such as crop height model (CHM), crop coverage (CC) and crop volume (CV), which were finally used to calculate dry (DW) and fresh (FW) weight of above-ground biomass in wheat. The intermediate metrics, CHM (R2 = 0.81, SEE = 4.19 cm) and CC (OA = 99.2%, Κ = 0.98) were found to be accurate against equivalent ground truth measurements. The metrics CV and CV×VIs were used to develop an effective and accurate linear regression model relationship with DW (R2 = 0.96 and SEE = 69.2 g/m2) and FW (R2 = 0.89 and SEE = 333.54 g/m2). The implemented approach outperformed commonly used VIs for estimation of biomass at all growth stages in wheat. The achieved results strongly support the applicability of the proposed approach for high-throughput phenotyping of germplasm in wheat and other crop species."
322,doi:10.1109/cvpr.2018.00077,PAD-Net: Multi-tasks Guided Prediction-and-Distillation Network for Simultaneous Depth Estimation and Scene Parsing,2018,Dan Xu; Wanli Ouyang; Xiaogang Wang; Nicu Sebe,,10.1109/cvpr.2018.00077,,,,openalex,openalex:W2798441115,P004,MFO / Modern Fruit Orchards,backward_reference,False,https://doi.org/10.1109/cvpr.2018.00077,,"Depth estimation and scene parsing are two particularly important tasks in visual scene understanding. In this paper we tackle the problem of simultaneous depth estimation and scene parsing in a joint CNN. The task can be typically treated as a deep multi-task learning problem [42]. Different from previous methods directly optimizing multiple tasks given the input training data, this paper proposes a novel multi-task guided prediction-and-distillation network (PAD-Net), which first predicts a set of intermediate auxiliary tasks ranging from low level to high level, and then the predictions from these intermediate auxiliary tasks are utilized as multi-modal input via our proposed multi-modal distillation modules for the final tasks. During the joint learning, the intermediate tasks not only act as supervision for learning more robust deep representations but also provide rich multi-modal information for improving the final tasks. Extensive experiments are conducted on two challenging datasets (i.e. NYUD-v2 and Cityscapes) for both the depth estimation and scene parsing tasks, demonstrating the effectiveness of the proposed approach."
323,doi:10.1109/icip.2019.8803025,ACNET: Attention Based Network to Exploit Complementary Features for RGBD Semantic Segmentation,2019,Xinxin Hu; Kailun Yang; Lei Fei; Kaiwei Wang,,10.1109/icip.2019.8803025,,,,openalex,openalex:W2971014764,P004,MFO / Modern Fruit Orchards,backward_reference,False,https://doi.org/10.1109/icip.2019.8803025,,"Compared to RGB semantic segmentation, RGBD semantic segmentation can achieve better performance by taking depth information into consideration. However, it is still problematic for contemporary segmenters to effectively exploit RGBD information since the feature distributions of RGB and depth (D) images vary significantly in different scenes. In this paper, we propose an Attention Complementary Network (ACNet) that selectively gathers features from RGB and depth branches. The main contributions lie in the Attention Complementary Module (ACM) and the architecture with three parallel branches. More precisely, ACM is a channel attention-based module that extracts weighted features from RGB and depth branches. The architecture preserves the inference of the original RGB and depth branches, and enables the fusion branch at the same time. Based on the above structures, ACNet is capable of exploiting more high-quality features from different channels. We evaluate our model on SUN-RGBD and NYUDv2 datasets, and prove that our model outperforms state-of-the-art methods. In particular, a mIoU score of 48.3% on NYUDv2 test set is achieved with ResNet50. We will release our source code based on PyTorch and the trained segmentation model at https://github.com/anheidelonghu/ACNet."
324,doi:10.1093/bioinformatics/btz190,BrAPI—an application programming interface for plant breeding applications,2019,Peter Selby; Rafael Abbeloos; Jan Erik Backlund; Martín Basterrechea; Guillaume Bauchet; Omar Eduardo Benites Alfaro; Clay Birkett; Viana C Calaminos; Pierre Carceller; Guillaume Cornut; Bruno Costa; Jeremy D. Edwards; Richard Finkers; Star Yanxin Gao; Mehmood Ghaffar; P. E. Glaser; Valentin Guignon; Puthick Hok; Andrzej Kilian; Patrick König; Jack Elendil B Lagare; Matthias Lange; Marie‐Angélique Laporte; Pierre Larmande; David LeBauer; David Lyon; David Marshall; Dave Matthews; Iain Milne; N. Mistry; Nicolás Morales; Lukas A. Mueller; Pascal Neveu; Evangelia Papoutsoglou; Brian Pearce; Ivan Perez-Masias; Cyril Pommier; Ricardo H. Ramírez-González; Abhishek Rathore; Angel Manica Raquel; Sebastian Raubach; Trevor W. Rife; Kelly R. Robbins; Mathieu Rouard; C. Sasidhar Sarma; Uwe Scholz; Guilhem Sempéré; Paul D. Shaw; Reinhard Simon; Nahuel Soldevilla; Gordon Stephen; Qi Sun; Clarysabel Tovar; Grzegorz Uszyński; Maikel P. H. Verouden,Bioinformatics,10.1093/bioinformatics/btz190,,30903186,6792114,openalex; semantic_scholar,openalex:W2945510383; semantic_scholar:70483d55935199e10f0b9fcf02dd8fa400d97558,P006,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,backward_reference,True,https://www.semanticscholar.org/paper/70483d55935199e10f0b9fcf02dd8fa400d97558,https://academic.oup.com/bioinformatics/article-pdf/35/20/4147/48976014/bioinformatics_35_20_4147.pdf,"Abstract Motivation Modern genomic breeding methods rely heavily on very large amounts of phenotyping and genotyping data, presenting new challenges in effective data management and integration. Recently, the size and complexity of datasets have increased significantly, with the result that data are often stored on multiple systems. As analyses of interest increasingly require aggregation of datasets from diverse sources, data exchange between disparate systems becomes a challenge. Results To facilitate interoperability among breeding applications, we present the public plant Breeding Application Programming Interface (BrAPI). BrAPI is a standardized web service API specification. The development of BrAPI is a collaborative, community-based initiative involving a growing global community of over a hundred participants representing several dozen institutions and companies. Development of such a standard is recognized as critical to a number of important large breeding system initiatives as a foundational technology. The focus of the first version of the API is on providing services for connecting systems and retrieving basic breeding data including germplasm, study, observation, and marker data. A number of BrAPI-enabled applications, termed BrAPPs, have been written, that take advantage of the emerging support of BrAPI by many databases. Availability and implementation More information on BrAPI, including links to the specification, test suites, BrAPPs, and sample implementations is available at https://brapi.org/. The BrAPI specification and the developer tools are provided as free and open source."
325,doi:10.1109/cvpr.2019.00234,Transferrable Prototypical Networks for Unsupervised Domain Adaptation,2019,Yingwei Pan; Ting Yao; Yehao Li; Yu Wang; Chong‐Wah Ngo; Tao Mei,,10.1109/cvpr.2019.00234,,,,openalex,openalex:W2978573218,P004,MFO / Modern Fruit Orchards,backward_reference,False,https://doi.org/10.1109/cvpr.2019.00234,,"In this paper, we introduce a new idea for unsupervised domain adaptation via a remold of Prototypical Networks, which learn an embedding space and perform classification via a remold of the distances to the prototype of each class. Specifically, we present Transferrable Prototypical Networks (TPN) for adaptation such that the prototypes for each class in source and target domains are close in the embedding space and the score distributions predicted by prototypes separately on source and target data are similar. Technically, TPN initially matches each target example to the nearest prototype in the source domain and assigns an example a ``pseudo"" label. The prototype of each class could then be computed on source-only, target-only and source-target data, respectively. The optimization of TPN is end-to-end trained by jointly minimizing the distance across the prototypes on three types of data and KL-divergence of score distributions output by each pair of the prototypes. Extensive experiments are conducted on the transfers across MNIST, USPS and SVHN datasets, and superior results are reported when comparing to state-of-the-art approaches. More remarkably, we obtain an accuracy of 80.4% of single model on VisDA 2017 dataset."
326,doi:10.1109/cvpr52688.2022.01632,Noisy Boundaries: Lemon or Lemonade for Semi-supervised Instance Segmentation?,2022,Zhenyu Wang; Yali Li; Shengjin Wang,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),10.1109/cvpr52688.2022.01632,,,,openalex,openalex:W4312548937,P004,MFO / Modern Fruit Orchards,backward_reference,False,https://doi.org/10.1109/cvpr52688.2022.01632,,"Current instance segmentation methods rely heavily on pixel-level annotated images. The huge cost to obtain such fully-annotated images restricts the dataset scale and limits the performance. In this paper, we formally address semi-supervised instance segmentation, where unlabeled images are employed to boost the performance. We construct a framework for semi-supervised instance segmentation by assigning pixel-level pseudo labels. Under this framework, we point out that noisy boundaries associated with pseudo labels are double-edged. We propose to exploit and resist them in a unified manner simultaneously: 1) To combat the negative effects of noisy boundaries, we propose a noise-tolerant mask head by leveraging low-resolution features. 2) To enhance the positive impacts, we introduce a boundary-preserving map for learning detailed information within boundary-relevant regions. We evaluate our approach by extensive experiments. It behaves extraordinarily, outperforming the supervised baseline by a large margin, more than 6% on Cityscapes, 7% on COCO and 4.5% on BDD100k. On Cityscapes, our method achieves comparable performance by utilizing only 30% labeled images."
327,doi:10.1186/s13007-020-00699-x,"Accurate machine learning-based germination detection, prediction and quality assessment of three grain crops",2020,Nikita Genze; Richa Bharti; Michael Grieb; Sebastian J. Schultheiß; Dominik G. Grimm,Plant Methods,10.1186/s13007-020-00699-x,,33353559,7754596,openalex; semantic_scholar,openalex:W3117766325; semantic_scholar:ee5f956010d415518255775baf967fed7a77e1bb,P012,MFWD,backward_reference,True,https://www.semanticscholar.org/paper/ee5f956010d415518255775baf967fed7a77e1bb,https://plantmethods.biomedcentral.com/track/pdf/10.1186/s13007-020-00699-x,"BACKGROUND: Assessment of seed germination is an essential task for seed researchers to measure the quality and performance of seeds. Usually, seed assessments are done manually, which is a cumbersome, time consuming and error-prone process. Classical image analyses methods are not well suited for large-scale germination experiments, because they often rely on manual adjustments of color-based thresholds. We here propose a machine learning approach using modern artificial neural networks with region proposals for accurate seed germination detection and high-throughput seed germination experiments. RESULTS: We generated labeled imaging data of the germination process of more than 2400 seeds for three different crops, Zea mays (maize), Secale cereale (rye) and Pennisetum glaucum (pearl millet), with a total of more than 23,000 images. Different state-of-the-art convolutional neural network (CNN) architectures with region proposals have been trained using transfer learning to automatically identify seeds within petri dishes and to predict whether the seeds germinated or not. Our proposed models achieved a high mean average precision (mAP) on a hold-out test data set of approximately 97.9%, 94.2% and 94.3% for Zea mays, Secale cereale and Pennisetum glaucum respectively. Further, various single-value germination indices, such as Mean Germination Time and Germination Uncertainty, can be computed more accurately with the predictions of our proposed model compared to manual countings. CONCLUSION: Our proposed machine learning-based method can help to speed up the assessment of seed germination experiments for different seed cultivars. It has lower error rates and a higher performance compared to conventional and manual methods, leading to more accurate germination indices and quality assessments of seeds."
328,doi:10.1007/s00138-015-0727-5,Validation of plant part measurements using a 3D reconstruction method suitable for high-throughput seedling phenotyping,2015,F. Golbach; Gert Kootstra; Sanja Damjanović; Gerwoud Otten; H.J. van de Zedde,Machine Vision and Applications,10.1007/s00138-015-0727-5,,,,openalex; semantic_scholar,openalex:W2199470297; semantic_scholar:315ec48d440006d7e9852c73bd2ea29d2d4a8200,P009,TomatoWUR,backward_reference,True,https://www.semanticscholar.org/paper/315ec48d440006d7e9852c73bd2ea29d2d4a8200,https://link.springer.com/content/pdf/10.1007/s00138-015-0727-5.pdf,"In plant phenotyping, there is a demand for high-throughput, non-destructive systems that can accurately analyse various plant traits by measuring features such as plant volume, leaf area, and stem length. Existing vision-based systems either focus on speed using 2D imaging, which is consequently inaccurate, or on accuracy using time-consuming 3D methods. In this paper, we present a computer-vision system for seedling phenotyping that combines best of both approaches by utilizing a fast three-dimensional (3D) reconstruction method. We developed image processing methods for the identification and segmentation of plant organs (stem and leaf) from the 3D plant model. Various measurements of plant features such as plant volume, leaf area, and stem length are estimated based on these plant segments. We evaluate the accuracy of our system by comparing the measurements of our methods with ground truth measurements obtained destructively by hand. The results indicate that the proposed system is very promising."
329,doi:10.4081/jae.2022.1432,Tomato leaf diseases recognition based on deep convolutional neural networks,2022,Kai Tian; Jiefeng Zeng; Tianci Song; Zhuliu Li; Asenso Evans; Jiuhao Li,Journal of Agricultural Engineering,10.4081/jae.2022.1432,,,,openalex; semantic_scholar,openalex:W4297820405; semantic_scholar:91527e8b157982fa5a7c66f7968b1a81a134b90a,P002,TomatoMAP,backward_reference,True,https://www.semanticscholar.org/paper/91527e8b157982fa5a7c66f7968b1a81a134b90a,https://doi.org/10.4081/jae.2022.1432,"Tomato disease control remains a major challenge in the agriculture sector. Early stage recognition of these diseases is critical to reduce pesticide usage and mitigate economic losses. While many research works have been inspired by the success of deep learning in computer vision to improve the performance of recognition systems for crop diseases, few of these studies optimized the deep learning models to generalize their findings to practical use in the field. In this work, we proposed a model for identifying tomato leaf diseases based on both in-house data and public tomato leaf images databases. Three deep learning network architectures (VGG16, Inception_v3, and Resnet50) were trained and tested. We packaged the trained model into an Android application named TomatoGuard to identify nine kinds of tomato leaf diseases and healthy tomato leaf. The results showed that TomatoGuard could be adopted as a model for identifying tomato diseases with a 99% test accuracy, showing significantly better performance compared with APP Plantix, a widely used APP for general purpose plant disease detection."
330,doi:10.1109/cvpr.2019.00423,"Pattern-Affinitive Propagation Across Depth, Surface Normal and Semantic Segmentation",2019,Zhenyu Zhang; Zhen Cui; Chunyan Xu; Yan Yan; Nicu Sebe; Jian Yang,,10.1109/cvpr.2019.00423,,,,openalex,openalex:W2959581809,P004,MFO / Modern Fruit Orchards,backward_reference,True,https://doi.org/10.1109/cvpr.2019.00423,,"In this paper, we propose a novel Pattern-Affinitive Propagation (PAP) framework to jointly predict depth, surface normal and semantic segmentation. The motivation behind it comes from the statistic observation that pattern-affinitive pairs recur much frequently across different tasks as well as within a task. Thus, we can conduct two types of propagations, cross-task propagation and task-specific propagation, to adaptively diffuse those similar patterns. The former integrates cross-task affinity patterns to adapt to each task therein through the calculation on non-local relationships. Next the latter performs an iterative diffusion in the feature space so that the cross-task affinity patterns can be widely-spread within the task. Accordingly, the learning of each task can be regularized and boosted by the complementary task-level affinities. Extensive experiments demonstrate the effectiveness and the superiority of our method on the joint three tasks. Meanwhile, we achieve the state-of-the-art or competitive results on the three related datasets, NYUD-v2, SUN-RGBD and KITTI."
