acquisition_batch_id,ranking_position,candidate_id,original_screening_rank,title,priority_score,ranking_run_id
FAB_20260803T005718Z,1,doi:10.1002/rob.21877,105,"A high‐resolution, multimodal data set for agricultural robotics: A <i>Ladybird</i>'s‐eye view of Brassica",12.806,
FAB_20260803T005718Z,2,doi:10.1109/iros47612.2022.9981304,212,BonnBot-I: A Precise Weed Management and Crop Monitoring Platform,9.915,
FAB_20260803T005718Z,3,doi:10.3390/s17092007,278,Novelty Detection Classifiers in Weed Mapping: Silybum marianum Detection on UAV Multispectral Images,8.663,
FAB_20260803T005718Z,4,doi:10.1186/s13007-025-01334-3,139,Deep-learning-ready RGB-depth images of seedling development,11.977,
FAB_20260803T005718Z,5,doi:10.34133/plantphenomics.0080,149,Eff-3DPSeg: 3D Organ-Level Plant Shoot Segmentation Using Annotation-Efficient Deep Learning,11.663,
FAB_20260803T005718Z,6,doi:10.3390/su17125255,78,Deep Learning in Multimodal Fusion for Sustainable Plant Care: A Comprehensive Review,13.771,
FAB_20260803T005718Z,7,doi:10.3390/plants15121912,106,A Stage-Aware Cascaded Detection–Segmentation Framework for Leaf Phenotyping and Leaf Dry Biomass Estimation of Pepper Seedlings,12.801,
FAB_20260803T005718Z,8,doi:10.1016/j.compag.2022.107091,150,Performance Evaluation of Deep Transfer Learning on Multiclass Identification of Common Weed Species in Cotton Production Systems,11.643,
FAB_20260803T005718Z,9,doi:10.1080/10106049.2024.2440407,188,EGCM-UNet: Edge Guided Hybrid CNN-Mamba UNet for farmland remote sensing image semantic segmentation,10.614,
FAB_20260803T005718Z,10,doi:10.6084/m9.figshare.29222462,145,AgriVision: A Benchmark Dataset for Advancing Real-World Robotic Vision in Densely Fruited Blueberry Crop,11.801,
FAB_20260803T005718Z,11,doi:10.1016/j.jksuci.2023.03.023,117,Multi-level feature re-weighted fusion for the semantic segmentation of crops and weeds,12.556,
FAB_20260803T005718Z,12,doi:10.3389/fpls.2020.00751,334,A Deep-Learning-Based Real-Time Detector for Grape Leaf Diseases Using Improved Convolutional Neural Networks,7.465,
FAB_20260803T005718Z,13,doi:10.1109/icra.2017.7989347,114,UAV-based crop and weed classification for smart farming,12.588,
FAB_20260803T005718Z,14,doi:10.5447/ipk/2025/14,184,TomatoMAP_ Tomato Multi-Angle Multi-Pose Dataset for Fine-Grained Phenotyping,10.801,
FAB_20260803T005718Z,15,doi:10.3390/app10207132,109,Lightweight Semantic Segmentation Network for Real-Time Weed Mapping Using Unmanned Aerial Vehicles,12.69,
FAB_20260803T005718Z,16,doi:10.3389/fpls.2024.1439086,155,NeRF-based 3D reconstruction pipeline for acquisition and analysis of tomato crop morphology,11.591,
FAB_20260803T005718Z,17,doi:10.3389/fpls.2022.1031748,268,Deep learning-based segmentation and classification of leaf images for detection of tomato plant disease,8.913,
FAB_20260803T005718Z,18,doi:10.3390/agriculture13071321,52,Soybean-MVS: Annotated Three-Dimensional Model Dataset of Whole Growth Period Soybeans for 3D Plant Organ Segmentation,14.663,
FAB_20260803T005718Z,19,doi:10.1109/iccvw69036.2025.00736,62,AgMIC: Agricultural Masked Image Consistency for Cross-Domain Segmentation,14.301,
FAB_20260803T005718Z,20,doi:10.1109/cvpr52733.2024.01628,103,Depth-Aware Concealed Crop Detection in Dense Agricultural Scenes,12.914,
