acquisition_batch_id,ranking_position,candidate_id,original_screening_rank,title,priority_score,ranking_run_id
FAB_20260803T124840Z,1,doi:10.4081/jae.2022.1432,329,Tomato leaf diseases recognition based on deep convolutional neural networks,7.531,
FAB_20260803T124840Z,2,doi:10.17632/369cky7n39.1,461,Tomato leaf image dataset,4.602,
FAB_20260803T124840Z,3,doi:10.1002/rob.21938,320,Robotic weed control using automated weed and crop classification,7.765,
FAB_20260803T124840Z,4,doi:10.1016/j.compag.2021.106067,112,A Survey of Deep Learning Techniques for Weed Detection from Images,12.613,
FAB_20260803T124840Z,5,doi:10.3389/fpls.2023.1158933,431,An advanced deep learning models-based plant disease detection: A review of recent research,5.667,
FAB_20260803T124840Z,6,titleyear:tomatowur an annotated dataset of 3d tomato plants to quantitatively evaluate segmentation skeletonisation and plant trait extraction algorithms for 3d plant phenotyping 2025 4tu:,333,"TomatoWUR: an annotated dataset of 3D tomato plants to quantitatively evaluate segmentation, skeletonisation, and plant trait extraction algorithms for 3D plant phenotyping (2025) 4TU",7.5,
FAB_20260803T124840Z,7,doi:10.17632/ngdgg79rzb.1,379,Dataset of Tomato Leaves,6.69,
FAB_20260803T124840Z,8,doi:10.1016/j.aiia.2024.06.002,239,Image classification on smart agriculture platforms: Systematic literature review,9.415,
FAB_20260803T124840Z,9,doi:10.1016/j.aiia.2024.06.004,251,Computer vision in smart agriculture and precision farming: Techniques and applications,9.23,
FAB_20260803T124840Z,10,doi:10.3390/make8020044,121,Improving Ground Cover Crop Fractional Vegetation Mapping via Causality-Based Deep Representation Learning,12.5,
FAB_20260803T124840Z,11,doi:10.1016/j.cj.2021.03.015,291,High-throughput phenotyping: Breaking through the bottleneck in future crop breeding,8.425,
FAB_20260803T124840Z,12,doi:10.3389/fpls.2022.859290,294,Quantitative Extraction and Evaluation of Tomato Fruit Phenotypes Based on Image Recognition,8.38,
FAB_20260803T124840Z,13,doi:10.1016/j.compag.2019.104963,175,Unsupervised deep learning and semi-automatic data labeling in weed discrimination,11.041,
FAB_20260803T124840Z,14,doi:10.1038/s41598-022-17840-6,272,Intelligent yield estimation for tomato crop using SegNet with VGG19 architecture,8.779,
FAB_20260803T124840Z,15,doi:10.1016/j.ifacol.2016.10.076,344,Identification of weeds in sugarcane fields through images taken by UAV and Random Forest classifier,7.08,
FAB_20260803T124840Z,16,doi:10.1109/lra.2023.3346760,270,Panoptic Segmentation With Partial Annotations for Agricultural Robots,8.845,
