rank,candidate_id,title,year,authors,venue,doi,arxiv_id,pmid,pmcid,providers,provider_ids,seed_ids,dataset_names,directions,is_open_access,landing_url,pdf_url,abstract
421,doi:10.13031/2013.27838,"Color indices for weed identification under various soil, residue, and lighting conditions",1994,D. Woebbecke; G. Meyer; K. V. Bargen; D. Mortensen,,10.13031/2013.27838,,,,semantic_scholar,semantic_scholar:b4440022718ade9b9011fa2ed204ab0a7695ea6c,P008,SoyCotton,backward_reference,False,https://www.semanticscholar.org/paper/b4440022718ade9b9011fa2ed204ab0a7695ea6c,,
422,titleyear:annotated 3d point cloud dataset of broad leaf legumes captured by high throughput phenotyping platform:,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes Captured by High-Throughput Phenotyping Platform,,,,,,,,semantic_scholar,,P006,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,backward_reference,,,,
423,doi:10.3390/s18103576,Automatic Leaf Segmentation for Estimating Leaf Area and Leaf Inclination Angle in 3D Plant Images,2018,Kenta Itakura; Fumiki Hosoi,Italian National Conference on Sensors,10.3390/s18103576,,30360406,6210333,openalex; semantic_scholar,openalex:W2895862261; semantic_scholar:8b8a0a86c715b81dbe27acff22d93a2e533b9e3d,P013,TomatoPGT ecosystem,backward_reference,True,https://www.semanticscholar.org/paper/8b8a0a86c715b81dbe27acff22d93a2e533b9e3d,https://www.mdpi.com/1424-8220/18/10/3576/pdf?version=1540263056,"Automatic and efficient plant monitoring offers accurate plant management. Construction of three-dimensional (3D) models of plants and acquisition of their spatial information is an effective method for obtaining plant structural parameters. Here, 3D images of leaves constructed with multiple scenes taken from different positions were segmented automatically for the automatic retrieval of leaf areas and inclination angles. First, for the initial segmentation, leave images were viewed from the top, then leaves in the top-view images were segmented using distance transform and the watershed algorithm. Next, the images of leaves after the initial segmentation were reduced by 90%, and the seed regions for each leaf were produced. The seed region was re-projected onto the 3D images, and each leaf was segmented by expanding the seed region with the 3D information. After leaf segmentation, the leaf area of each leaf and its inclination angle were estimated accurately via a voxel-based calculation. As a result, leaf area and leaf inclination angle were estimated accurately after automatic leaf segmentation. This method for automatic plant structure analysis allows accurate and efficient plant breeding and growth management."
424,doi:10.1016/j.compag.2021.106150,"Apple, peach, and pear flower detection using semantic segmentation network and shape constraint level set",2021,Kaiqiong Sun; Xuan Wang; Shoushuai Liu; Changhua Liu,Computers and Electronics in Agriculture,10.1016/j.compag.2021.106150,,,,openalex,openalex:W3159149035,P003,AgriVision,backward_reference,False,https://doi.org/10.1016/j.compag.2021.106150,,
425,doi:10.1029/2020wr028095,Evaluating the Potential and Challenges of an Uncertainty Quantification Method for Long Short‐Term Memory Models for Soil Moisture Predictions,2020,Kuai Fang; Daniel Kifer; Kathryn Lawson; Chaopeng Shen,Water Resources Research,10.1029/2020wr028095,,,,openalex; semantic_scholar,openalex:W2952737409; semantic_scholar:6aea3bcf141ed7b11f958436a89eccc8b08d7149,P010,WeedsGalore,backward_reference,True,https://www.semanticscholar.org/paper/6aea3bcf141ed7b11f958436a89eccc8b08d7149,https://arxiv.org/pdf/1906.04595,"Abstract Recently, recurrent deep networks have shown promise to harness newly available satellite‐sensed data for long‐term soil moisture projections. However, to be useful in forecasting, deep networks must also provide uncertainty estimates. Here we evaluated Monte Carlo dropout with an input‐dependent data noise term (MCD+N), an efficient uncertainty estimation framework originally developed in computer vision, for hydrologic time series predictions. MCD+N simultaneously estimates a heteroscedastic input‐dependent data noise term (a trained error model attributable to observational noise) and a network weight uncertainty term (attributable to insufficiently constrained model parameters). Although MCD+N has appealing features, many heuristic approximations were employed during its derivation, and rigorous evaluations and evidence of its asserted capability to detect dissimilarity were lacking. To address this, we provided an in‐depth evaluation of the scheme's potential and limitations. We showed that for reproducing soil moisture dynamics recorded by the Soil Moisture Active Passive (SMAP) mission, MCD+N indeed gave a good estimate of predictive error, provided that we tuned a hyperparameter and used a representative training data set. The input‐dependent term responded strongly to observational noise, while the model term clearly acted as a detector for physiographic dissimilarity from the training data, behaving as intended. However, when the training and test data were characteristically different, the input‐dependent term could be misled, undermining its reliability. Additionally, due to the data‐driven nature of the model, data noise also influences network weight uncertainty, and therefore the two uncertainty terms are correlated. Overall, this approach has promise, but care is needed to interpret the results."
426,doi:10.1007/s11240-014-0664-4,Tomato (Solanum lycopersicum L.) in the service of biotechnology,2014,Aneta Gerszberg; Katarzyna Hnatuszko-Konka; Tomasz Kowalczyk; Andrzej K. Kononowicz,Plant Cell Tissue and Organ Culture (PCTOC),10.1007/s11240-014-0664-4,,,,openalex; semantic_scholar,openalex:W2077351763; semantic_scholar:bae04087a404408f2207a09a8c1468ea2aa0bd33,P002,TomatoMAP,backward_reference,True,https://www.semanticscholar.org/paper/bae04087a404408f2207a09a8c1468ea2aa0bd33,https://link.springer.com/content/pdf/10.1007/s11240-014-0664-4.pdf,"Originating in the Andes, the tomato ( Solanum lycopersicum L.) was imported to Europe in the 16th century. At present, it is an important crop plant cultivated all over the world, and its production and consumption continue to increase. This popular vegetable is known as a major source of important nutrients including lycopene, β-carotene, flavonoids and vitamin C as well as hydroxycinnamic acid derivatives. Since the discovery that lycopene has anti-oxidative, anti-cancer properties, interest in tomatoes has grown rapidly. The development of genetic engineering tools and plant biotechnology has opened great opportunities for engineering tomato plants. This review presents examples of successful tissue culture and genetically modified tomatoes which resistance to a range of environmental stresses improved, along with fruit quality. Additionally, a successful molecular farming model was established."
427,doi:10.1007/s00530-023-01158-y,“Tomato-Village”: a dataset for end-to-end tomato disease detection in a real-world environment,2023,Mamta Gehlot; Rakesh Saxena; Geeta Chhabra Gandhi,Multimedia Systems,10.1007/s00530-023-01158-y,,,,openalex; semantic_scholar,openalex:W4386028079; semantic_scholar:87f5e4173d3cd5af4af14579919b2a6e04de7f05,P002,TomatoMAP,backward_reference,False,https://www.semanticscholar.org/paper/87f5e4173d3cd5af4af14579919b2a6e04de7f05,,
428,doi:10.17485/ijst/v17i2.1821,"Effect of Vermicompost and Organic Fertilizer on Improved Growth, Productivity and Quality of Tomato (Solanum lycopersicum ) Plant",2024,Srinivasan Nithya; O S Sethuraman; K. Sasikumar,Indian Journal of Science and Technology,10.17485/ijst/v17i2.1821,,,,openalex; semantic_scholar,openalex:W4390811248; semantic_scholar:f01eb65990e5d7fc48b3762ddbb349c486c6c47e,P002,TomatoMAP,backward_reference,True,https://www.semanticscholar.org/paper/f01eb65990e5d7fc48b3762ddbb349c486c6c47e,https://sciresol.s3.us-east-2.amazonaws.com/IJST/Articles/2024/Issue-2/IJST-2023-1821.pdf,"Objectives: This study\'s objective was to assess the growth and yield of tomato plants (Solanum lycopersicum) grown in vermicompost comprised of various mixtures of paper mill sludge and sugar mill press mud along cow dung. Methods: Vermicomposting experiments with paper mill sludge and sugar mill press mud along cow dung in plastic containers at room temperature and humidity using the earthworm species Perionyx excavatus. T1 is soil alone (control), T2 is soil with inorganic fertilizer, T3 is soil and compost, T4 is soil with compost and inorganic fertilizer, T5 is soil with vermicompost A, T6 is soil with vermicompost B, and T7 is soil with vermicompost C. Findings: The vermicompost (T6) demonstrated the greatest improvement in growth parameters and productivity of tomato plants (T6), i.e. plant height (76.15cm), Fruit diameter (4.14cm), Fruit weight (91.35 g), Number of fruits per plant (90.38), and yield (8.25kg). Then fruit compounds lycopene (0.589 mg/100 ml), beta-carotene (0.297 mg/100 ml), and total chlorophyll (0.556 mg/100 ml) quantity was increased. In this tomato plant experiment, vermicompost outperformed when compared commercial chemical fertilizer, compost, and the control. Novelty: This investigation emphasizes on the industrial waste such as sugar mill press mud and paper mill sludge. This undecomposed industrial organic waste converted into value added product through the modified innovating vermicomposting process improve the nutritional value and increase the growth of the tomato plant also high stock density of Perionyx excavatus. Keywords: Paper mill sludge and sugar mill press mud, Solanum lycopersicum, lycopene, β-carotene, Perionyx excavatus"
429,doi:10.4060/cc9205en,Agricultural production statistics 2000–2022,2023,,,10.4060/cc9205en,,,,semantic_scholar,semantic_scholar:059bbcfe89e6b72cf637c7ba30f87fea28a719ad,P010,WeedsGalore,backward_reference,False,https://www.semanticscholar.org/paper/059bbcfe89e6b72cf637c7ba30f87fea28a719ad,,
430,doi:10.3390/s21248241,Voxelisation Algorithms and Data Structures: A Review,2021,Mitko Aleksandrov; Sisi Zlatanova; David Heslop,Italian National Conference on Sensors,10.3390/s21248241,,34960336,8707769,openalex; semantic_scholar,openalex:W4200563051; semantic_scholar:bb5066d85f762e15716b2df57fc93f8bb380ab9b,P006,Annotated 3D Point Cloud Dataset of Broad-Leaf Legumes,backward_reference,True,https://www.semanticscholar.org/paper/bb5066d85f762e15716b2df57fc93f8bb380ab9b,https://www.mdpi.com/1424-8220/21/24/8241/pdf?version=1639066829,"Voxel-based data structures, algorithms, frameworks, and interfaces have been used in computer graphics and many other applications for decades. There is a general necessity to seek adequate digital representations, such as voxels, that would secure unified data structures, multi-resolution options, robust validation procedures and flexible algorithms for different 3D tasks. In this review, we evaluate the most common properties and algorithms for voxelisation of 2D and 3D objects. Thus, many voxelisation algorithms and their characteristics are presented targeting points, lines, triangles, surfaces and solids as geometric primitives. For lines, we identify three groups of algorithms, where the first two achieve different voxelisation connectivity, while the third one presents voxelisation of curves. We can say that surface voxelisation is a more desired voxelisation type compared to solid voxelisation, as it can be achieved faster and requires less memory if voxels are stored in a sparse way. At the same time, we evaluate in the paper the available voxel data structures. We split all data structures into static and dynamic grids considering the frequency to update a data structure. Static grids are dominated by SVO-based data structures focusing on memory footprint reduction and attributes preservation, where SVDAG and SSVDAG are the most advanced methods. The state-of-the-art dynamic voxel data structure is NanoVDB which is superior to the rest in terms of speed as well as support for out-of-core processing and data management, which is the key to handling large dynamically changing scenes. Overall, we can say that this is the first review evaluating the available voxelisation algorithms for different geometric primitives as well as voxel data structures."
