acquisition_batch_id,ranking_position,candidate_id,original_screening_rank,title,priority_score,ranking_run_id
FAB_20260803T124849Z,1,doi:10.1109/access.2024.3450904,197,Advancements in Precision Spraying of Agricultural Robots: A Comprehensive Review,10.339,
FAB_20260803T124849Z,2,doi:10.1007/s00138-015-0727-5,328,Validation of plant part measurements using a 3D reconstruction method suitable for high-throughput seedling phenotyping,7.545,
FAB_20260803T124849Z,3,doi:10.1109/iccvw60793.2023.00057,335,Weed Mapping with Convolutional Neural Networks on High Resolution Whole-Field Images,7.454,
FAB_20260803T124849Z,4,doi:10.5073/20220124-075254,169,Better-Weeds – Next generation weed management,11.301,
FAB_20260803T124849Z,5,doi:10.3390/rs16244720,69,A 3D Surface Reconstruction Pipeline for Plant Phenotyping,14.041,
FAB_20260803T124849Z,6,doi:10.1016/j.compag.2019.02.005,244,A review on weed detection using ground-based machine vision and image processing techniques,9.315,
FAB_20260803T124849Z,7,doi:10.14459/2023mp1717366,339,Manually annotated and curated dataset of diverse weed species in maize and sorghum for computer vision,7.301,
FAB_20260803T124849Z,8,doi:10.1016/j.atech.2026.101894,107,Real-time deep learning segmentation for agricultural applications: Insights for precision weed management,12.801,
FAB_20260803T124849Z,9,doi:10.1016/j.compag.2015.05.021,443,Sensors and systems for fruit detection and localization: A review,5.215,
FAB_20260803T124849Z,10,titleyear:estimating leaf nitrogen accumulation considering vertical leaf layers in winter wheat:,549,Estimating leaf nitrogen accumulation considering vertical leaf layers in winter wheat,1.0,
FAB_20260803T124849Z,11,doi:10.13031/aim.202301280,343,Weed Database Development: An Updated Survey of Public Weed Datasets and Cross-Season Weed Detection Adaptation,7.114,
FAB_20260803T124849Z,12,doi:10.1016/j.atech.2026.101997,208,CPO-SwinUnet: An Enhanced Swin-Unet for Organ-Level Structural Semantic Segmentation of Pepper Plants,10.0,
FAB_20260803T124849Z,13,doi:10.1016/j.asoc.2020.106597,280,Uncertainty quantification for plant disease detection using Bayesian deep learning,8.607,
FAB_20260803T124849Z,14,doi:10.1016/j.compag.2019.06.001,511,Fruit detection for strawberry harvesting robot in non-structural environment based on Mask-RCNN,3.802,
FAB_20260803T124849Z,15,doi:10.1007/978-3-032-07837-7_14,351,Harnessing Deep Learning for Efficient Rice Disease Detection with CNN and Advanced Transfer Learning Techniques,7.0,
FAB_20260803T124849Z,16,doi:10.1109/ietc69527.2026.11568606,120,Field-Scale Persistent Plant Mapping with Vision and GPS,12.5,
FAB_20260803T124849Z,17,doi:10.1016/j.isprsjprs.2018.04.012,523,Extracting leaf area index using viewing geometry effects—A new perspective on high-resolution unmanned aerial system photography,2.991,
FAB_20260803T124849Z,18,doi:10.1016/s0034-4257(02)00096-2,494,Overview of the radiometric and biophysical performance of the MODIS vegetation indices,4.0,
FAB_20260803T124849Z,19,doi:10.1016/j.asoc.2015.08.027,372,A semi-supervised system for weed mapping in sunflower crops using unmanned aerial vehicles and a crop row detection method,6.83,
FAB_20260803T124849Z,20,doi:10.1109/aimla63829.2025.11040883,167,Deep Learning-Based Evaluation of Models for Rice and Sorghum Weed Classification Using the MFWD Dataset,11.301,
FAB_20260803T124849Z,21,doi:10.1007/s10343-024-01054-z,319,Advanced CNN Approach for Segmentation of Diseased Areas in Plant Images,7.778,
